,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
191,2021-10-06,278.0469477373675,285.6845369532869,277.78426447928524,285.1785888671875,28002600,0.0,0.0
192,2021-10-07,287.19260885810104,288.61312356005055,285.9667238512161,286.8715515136719,20430500,0.0,0.0
193,2021-10-08,288.2044754298944,288.61312356005055,285.8110497869562,286.8715515136719,17685700,0.0,0.0
194,2021-10-11,284.99376079356455,289.9070987257807,284.8283478346191,286.268310546875,19298600,0.0,0.0
195,2021-10-12,287.34829020555566,287.44559020965823,284.4392071411812,284.9548645019531,17974100,0.0,0.0
196,2021-10-13,286.92994219622403,289.2358068787903,285.54835335326123,288.29205322265625,23416300,0.0,0.0
197,2021-10-14,291.11349137966283,295.06362706372664,289.7708288649425,294.5577087402344,27262900,0.0,0.0
198,2021-10-15,294.1588165309369,296.2117363511589,292.38805775917484,295.97821044921875,25384800,0.0,0.0
199,2021-10-18,295.3555443129515,299.86997263429015,294.499351952408,298.9748840332031,22729300,0.0,0.0
200,2021-10-19,300.0062134430301,300.93048911629654,298.9067859114772,299.88946533203125,17682100,0.0,0.0
201,2021-10-20,300.8429253198746,301.31968635787115,297.8268038151897,299.0916442871094,16537100,0.0,0.0
202,2021-10-21,298.8582205210646,302.60401862102634,298.07011120428785,302.35107421875,16918100,0.0,0.0
203,2021-10-22,302.000717694257,302.6720489977781,299.47106651928624,300.7942810058594,17449300,0.0,0.0
204,2021-10-25,300.988903801613,301.02782974112984,298.1673818683796,299.7922058105469,17554500,0.0,0.0
205,2021-10-26,302.5844981993142,303.94660897310786,300.24944691684107,301.71856689453125,28107300,0.0,0.0
206,2021-10-27,307.4492346525636,317.275940812412,307.4492346525636,314.42523193359375,52588700,0.0,0.0
207,2021-10-28,315.55382540706614,316.07922166753383,312.664190512182,315.57330322265625,26297900,0.0,0.0
208,2021-10-29,315.3592300797796,323.0162675755375,315.1354430607884,322.64654541015625,34766000,0.0,0.0
209,2021-11-01,322.3935394924957,322.52002650412675,317.5385760545105,320.4573974609375,27073200,0.0,0.0
210,2021-11-02,321.3719926449958,324.42704024259035,321.070383448009,324.1156921386719,26487100,0.0,0.0
211,2021-11-03,324.86485820542464,325.83779879884713,321.7028012768014,324.962158203125,21500100,0.0,0.0
212,2021-11-04,323.88228412073494,327.43351217865245,320.59373939541274,327.3362121582031,23992200,0.0,0.0
213,2021-11-05,329.35008564003266,329.62250778200826,325.37076270927395,326.96636962890625,22570100,0.0,0.0
214,2021-11-08,328.172886097,328.51342128021736,325.3902899482166,327.87127685546875,20897000,0.0,0.0
215,2021-11-09,327.98802110454375,329.5544710520754,325.47784719370213,326.85943603515625,21307400,0.0,0.0
216,2021-11-10,325.51669840233706,325.5750724548764,320.99253117981675,321.84869384765625,25500900,0.0,0.0
217,2021-11-11,322.2865685840883,324.73836816774383,321.56660205300165,323.43463134765625,16849800,0.0,0.0
218,2021-11-12,324.88432929689867,328.1047602191406,324.75784227168475,327.6085510253906,23831000,0.0,0.0
219,2021-11-15,328.4063590390961,328.73715526054144,324.9913282334452,326.97613525390625,16723000,0.0,0.0
220,2021-11-16,326.596680109208,331.45167369483414,326.43129684138256,330.32305908203125,20886800,0.0,0.0
221,2021-11-17,330.3717986440752,333.53964055668297,329.4555589112013,330.5472412109375,19053400,0.62,0.0
222,2021-11-18,329.63103050422825,333.79310682111,328.59782896913265,332.6429138183594,22463500,0.0,0.0
223,2021-11-19,333.9782807237924,336.3760850713237,333.54940128002426,334.4363708496094,21963400,0.0,0.0
224,2021-11-22,335.90823927959985,340.83059660958793,330.9663982444218,331.23931884765625,31031100,0.0,0.0
225,2021-11-23,328.5295675006712,330.8689207458857,325.12780211332137,329.1436462402344,30427600,0.0,0.0
226,2021-11-24,327.7790898359139,329.611569589727,325.46900643741503,329.3678894042969,21661300,0.0,0.0
227,2021-11-26,325.89784460520497,329.38733132965183,319.8253244459486,321.34588623046875,24217200,0.0,0.0
228,2021-11-29,326.47286777562203,330.45947082061525,326.2779117884493,328.1201477050781,28563500,0.0,0.0
229,2021-11-30,326.843380694482,329.24118549614974,320.67338146894235,322.2329406738281,42885600,0.0,0.0
230,2021-12-01,326.65810495038073,330.7031893117624,321.06321847326484,321.7357482910156,33337600,0.0,0.0
231,2021-12-02,321.95022693317065,325.05958826494236,319.5134252465856,321.16070556640625,30766000,0.0,0.0
232,2021-12-03,323.59748495707225,324.2895580055808,309.99039360562415,314.8445129394531,41779300,0.0,0.0
233,2021-12-06,315.7607273302398,319.17224918241226,311.1600452426084,317.944091796875,30032600,0.0,0.0
234,2021-12-07,323.25628742156067,327.31109810506666,321.75520967810246,326.453369140625,31021900,0.0,0.0
235,2021-12-08,326.83353764022866,327.01873692011065,322.4375385432032,326.50213623046875,24761000,0.0,0.0
236,2021-12-09,325.95632498751337,327.98373078188104,323.7242064464456,324.679443359375,22214200,0.0,0.0
237,2021-12-10,326.51194292276665,334.3291920397001,326.32674361454235,333.8808288574219,38095700,0.0,0.0
238,2021-12-13,332.0678010684715,335.09919754949823,330.508242186491,330.8201599121094,28899400,0.0,0.0
239,2021-12-14,324.7963748122244,326.18049104721393,315.91665535379093,320.03973388671875,44438700,0.0,0.0
240,2021-12-15,320.30292576159496,326.7166040409797,316.2968383277808,326.19024658203125,35381100,0.0,0.0
241,2021-12-16,327.2234019687108,328.24687631398524,314.85419677505524,316.6866760253906,35034800,0.0,0.0
242,2021-12-17,312.76836484947194,316.70624457817166,309.23012415414564,315.6145324707031,47750300,0.0,0.0
243,2021-12-20,311.9593213948863,314.639803090111,309.5420333036139,311.8228759765625,28326500,0.0,0.0
244,2021-12-21,315.117474485116,319.4452369246078,311.7156788954348,319.016357421875,24740600,0.0,0.0
245,2021-12-22,320.0007316881483,325.1764952190438,317.515206284899,324.7768859863281,24831500,0.0,0.0
246,2021-12-23,324.338317997192,327.8863156788129,324.3188342914887,326.2292785644531,19617800,0.0,0.0
247,2021-12-27,326.97974351136725,333.8223007290445,326.9505030850571,333.7930603027344,19947000,0.0,0.0
248,2021-12-28,334.4753763231275,335.1186955047833,331.71693004428687,332.6234130859375,15661500,0.0,0.0
249,2021-12-29,332.67216336267353,335.59632546575983,331.09312058638534,333.3057556152344,15042000,0.0,0.0
250,2021-12-30,333.26671018042197,334.4558704532569,330.2548272200859,330.7421875,15994500,0.0,0.0
251,2021-12-31,329.9526640734258,330.78115274698564,327.3599038316659,327.8180236816406,18000800,0.0,0.0
252,2022-01-03,326.8725274614934,329.45553085179006,321.443327106911,326.2876892089844,28865100,0.0,0.0
253,2022-01-04,326.365629860419,326.72630140776477,317.8758232083439,320.6927795410156,32674300,0.0,0.0
254,2022-01-05,317.62244291835424,317.82715566315363,307.99222830188074,308.3821105957031,40054300,0.0,0.0
255,2022-01-06,305.23375573988085,310.6434730203267,303.61571594360646,305.9453125,39646100,0.0,0.0
256,2022-01-07,306.20843178093685,308.4990308502154,302.2510690255485,306.1012268066406,32720000,0.0,0.0
257,2022-01-10,301.66621595864194,306.7640145093251,296.98756979933967,306.32537841796875,44289500,0.0,0.0
258,2022-01-11,305.45795812071515,308.6062867421379,302.05619261480143,307.01751708984375,29386800,0.0,0.0
259,2022-01-12,311.58899809376317,315.2344442133843,309.0644451515652,310.224365234375,34372200,0.0,0.0
260,2022-01-13,312.368702549699,312.76834155330585,296.31505355695003,297.0948181152344,45366000,0.0,0.0
261,2022-01-14,296.55870809022736,302.9626288271662,296.07134784685803,302.3583068847656,39846400,0.0,0.0
262,2022-01-18,296.3833229907136,301.96845342480214,294.1122071585733,294.99920654296875,42333200,0.0,0.0
263,2022-01-19,298.5471508902644,305.9745163562208,295.0479078575732,295.6619567871094,45933900,0.0,0.0
264,2022-01-20,301.2569025877284,303.7716686441557,293.5273753788874,293.9757385253906,35380700,0.0,0.0
265,2022-01-21,295.0381821009371,296.4222687012469,288.1371435645374,288.5465393066406,57984400,0.0,0.0
266,2022-01-24,284.81339166905053,289.59924398211297,269.0716290518468,288.8779602050781,85731500,0.0,0.0
267,2022-01-25,284.15057669635144,287.5328588216214,277.961123853489,281.1971740722656,72848600,0.0,0.0
268,2022-01-26,300.2042298101955,300.7013469040615,285.62241593591597,289.2093811035156,90428900,0.0,0.0
269,2022-01-27,295.00894264093967,299.5316307918449,290.398503458779,292.2602233886719,53481300,0.0,0.0
270,2022-01-28,292.64034188757194,300.6817858879267,287.00645867474344,300.46734619140625,49743700,0.0,0.0
271,2022-01-31,301.1399402050038,304.4832247121305,298.6251444080618,303.1186218261719,46444500,0.0,0.0
272,2022-02-01,302.56299479419766,302.7774344946229,297.4164717300997,300.9547119140625,40950400,0.0,0.0
273,2022-02-02,301.80272213433227,307.1539283194446,301.07168173762904,305.535888671875,36636000,0.0,0.0
274,2022-02-03,301.6662707931768,303.3623048747538,292.37718460904244,293.63458251953125,43730000,0.0,0.0
275,2022-02-04,292.6208643966093,300.99371082112077,292.38694097024637,298.2060241699219,35096500,0.0,0.0
276,2022-02-07,298.4302055756614,300.0579722455786,292.318688654962,293.3421630859375,28533300,0.0,0.0
277,2022-02-08,293.6345781016936,297.8356214701152,292.3674532315667,296.86090087890625,32421200,0.0,0.0
278,2022-02-09,302.0366514726128,304.0445734219584,299.61936355089756,303.3427734375,31284700,0.0,0.0
279,2022-02-10,296.35400136188343,301.3055679493219,293.0984387666677,294.7359619140625,45386200,0.0,0.0
280,2022-02-11,295.52554040869245,296.5977390154296,286.7822954571139,287.5815734863281,39175600,0.0,0.0
281,2022-02-14,286.3436549956421,289.25808976653775,283.98484784230527,287.5425720214844,36359500,0.0,0.0
282,2022-02-15,292.4259349513336,293.1959428034632,289.51150014765204,292.8742980957031,27058300,0.0,0.0
283,2022-02-16,291.4286933030081,293.87053311659713,286.8477994281058,292.53240966796875,29982100,0.62,0.0
284,2022-02-17,289.46545969099697,289.8952259052709,283.253433188046,283.9664611816406,32461600,0.0,0.0
285,2022-02-18,286.2324505433951,287.0236042570552,279.64925995549225,281.2315673828125,34264000,0.0,0.0
286,2022-02-22,278.36976608741037,284.75762801323344,277.8813980767307,281.0264892578125,41736100,0.0,0.0
287,2022-02-23,283.42924365685803,284.9139014449889,273.58375795019657,273.7497863769531,37811200,0.0,0.0
288,2022-02-24,266.1703453675087,288.2934105099022,265.2033564275611,287.7366638183594,56989700,0.0,0.0
289,2022-02-25,288.2738711995005,290.7059342491932,284.8650423630225,290.39337158203125,32546700,0.0,0.0
290,2022-02-28,287.4632007751888,292.1808528562022,286.1836788618156,291.8389892578125,34627500,0.0,0.0
291,2022-03-01,289.50459796595675,292.99155328449973,285.35346919844056,288.0883483886719,31217800,0.0,0.0
292,2022-03-02,288.4887086508064,294.4565806556287,286.8673532451619,293.20635986328125,31873000,0.0,0.0
293,2022-03-03,295.8435873340458,296.0779944403515,287.20921468862633,289.0357360839844,27314500,0.0,0.0
294,2022-03-04,287.44363162174074,288.7817551065831,280.48927641365003,283.1166687011719,32356500,0.0,0.0
295,2022-03-07,281.8176750961905,282.95069258671765,272.0503137719436,272.4214782714844,43157200,0.0,0.0
296,2022-03-08,271.3372651346265,277.3539628320421,263.7187358011951,269.4326477050781,48159500,0.0,0.0
297,2022-03-09,276.84601842426736,282.8627149831323,274.2478974233293,281.7882995605469,35204500,0.0,0.0
298,2022-03-10,276.4357656338284,279.9324966197282,274.05252780886343,278.94598388671875,30628000,0.0,0.0
299,2022-03-11,281.2609058452866,282.774864613997,272.9293484945548,273.5544738769531,27209300,0.0,0.0
300,2022-03-14,273.8181756969653,278.76045763541293,269.4033395620521,270.0089111328125,30660700,0.0,0.0
301,2022-03-15,273.8279935092046,281.1242139523787,272.24568566980196,280.46978759765625,34245100,0.0,0.0
302,2022-03-16,282.38418612747995,287.7171871966468,276.6117014641629,287.5413818359375,37826300,0.0,0.0
